Customer_ID,Age,Gender,Nationality_Type,Loyalty_Member
CUST0054,38.0,Male,Expat,Yes
CUST0055,36.0,Male,Expat,Yes
CUST0056,24.0,Male,UAE National,Yes
CUST0057,29.0,Male,Expat,No
CUST0058,36.0,Male,Expat,No
CUST0059,29.0,Female,Expat,No
CUST0060,30.0,Male,UAE National,No
CUST0061,42.0,Male,Expat,No
CUST0062,25.0,Male,UAE National,No
CUST0063,33.0,Male,Expat,Yes
CUST0064,38.0,Female,Expat,No
CUST0065,33.0,Female,Expat,No
CUST0066,22.0,Male,Expat,Yes
CUST0067,25.0,Male,Expat,No
CUST0068,22.0,Male,Expat,No
CUST0069,25.0,Male,Expat,Yes
CUST0070,33.0,Female,Expat,Yes
CUST0071,39.0,Male,UAE National,No
CUST0072,30.0,Male,Expat,No
CUST0073,20.0,Female,Expat,No
CUST0074,31.0,Female,Expat,Yes
CUST0075,31.0,Female,Expat,No
CUST0076,37.0,Female,UAE National,No
CUST0077,40.0,Male,Expat,Yes
CUST0078,29.0,Female,Expat,No
CUST0079,37.0,Female,UAE National,Yes
CUST0080,,Female,Expat,No
CUST0081,46.0,Female,Expat,No
CUST0082,38.0,Male,UAE National,No
CUST0083,40.0,Male,Expat,Yes
CUST0084,34.0,Female,Expat,No
CUST0085,,Male,Expat,No
CUST0086,34.0,Male,Expat,No
CUST0087,33.0,Female,Expat,Yes
CUST0088,33.0,Male,Expat,Yes
CUST0089,31.0,Female,Expat,No
CUST0090,27.0,Female,Expat,No
CUST0091,24.0,Female,Expat,No
CUST0092,29.0,Male,Expat,Yes
CUST0093,51.0,Female,Expat,No
CUST0094,46.0,Male,Expat,No
CUST0095,40.0,Female,Expat,Yes
CUST0096,26.0,Male,Expat,Yes
CUST0097,25.0,Male,Expat,Yes
CUST0098,45.0,Female,Expat,Yes
CUST0099,39.0,Female,Expat,Yes
CUST0100,42.0,Female,UAE National,No
CUST0101,21.0,Male,Expat,Yes
CUST0102,46.0,Female,Expat,No
CUST0103,30.0,Female,Expat,Yes
CUST0104,46.0,Male,Expat,No
CUST0105,18.0,Male,Expat,No
CUST0106,21.0,Male,Expat,Yes
CUST0107,,Male,Expat,No
CUST0108,35.0,Male,Expat,Yes
CUST0109,39.0,Male,Expat,No
CUST0110,37.0,Female,Expat,No
CUST0111,33.0,Male,Expat,No
CUST0112,37.0,Male,Expat,Yes
CUST0113,32.0,Male,UAE National,No
CUST0114,28.0,Male,Expat,Yes
CUST0115,33.0,Female,Expat,Yes
CUST0116,27.0,Male,Expat,No
CUST0117,29.0,Male,Expat,No
CUST0118,26.0,Female,Expat,Yes
CUST0119,39.0,Female,Expat,No
CUST0120,18.0,Female,UAE National,No
CUST0121,22.0,Female,Expat,No
CUST0122,44.0,Female,UAE National,No
CUST0123,28.0,Female,Expat,No
CUST0124,27.0,Male,Expat,No
CUST0125,39.0,Female,Expat,Yes
CUST0126,29.0,Female,UAE National,No
CUST0127,27.0,Female,UAE National,No
CUST0128,18.0,Female,Expat,Yes
CUST0129,28.0,Female,Expat,No
CUST0130,26.0,Male,Expat,No
CUST0131,31.0,Male,Expat,No
CUST0132,36.0,Male,Expat,Yes
CUST0133,42.0,Male,Expat,No
CUST0134,36.0,Female,Expat,Yes
CUST0135,38.0,Female,Expat,No
CUST0136,41.0,Female,Expat,No
CUST0137,28.0,Male,UAE National,No
CUST0138,18.0,Female,Expat,No
CUST0139,44.0,Female,Expat,No
CUST0140,26.0,Female,Expat,Yes
CUST0141,31.0,Female,Expat,No
CUST0142,35.0,Male,Expat,Yes
CUST0143,32.0,Female,Expat,No
CUST0144,32.0,Male,Expat,No
CUST0145,39.0,Female,Expat,No
CUST0146,50.0,Female,UAE National,No
CUST0147,35.0,Male,Expat,No
CUST0148,31.0,Male,Expat,No
CUST0149,39.0,Female,Expat,Yes
CUST0150,40.0,Female,Expat,Yes
CUST0151,18.0,Female,UAE National,No
CUST0152,18.0,Male,Expat,No
CUST0153,34.0,Female,Expat,Yes
CUST0154,37.0,Female,UAE National,No
CUST0155,43.0,Female,UAE National,No
CUST0156,31.0,Male,Expat,No
CUST0157,29.0,Male,UAE National,Yes
CUST0158,34.0,Female,Expat,No
CUST0159,31.0,Male,Expat,No
CUST0160,31.0,Male,Expat,No
CUST0161,31.0,Male,Expat,No
CUST0162,44.0,Male,UAE National,No
CUST0163,34.0,Male,Expat,Yes
CUST0164,21.0,Male,Expat,No
CUST0165,36.0,Male,Expat,Yes
CUST0166,33.0,Female,Expat,No
CUST0167,48.0,Male,Expat,No
CUST0168,40.0,Male,Expat,No
CUST0169,33.0,Male,Expat,Yes
CUST0170,43.0,Male,Expat,Yes
CUST0171,39.0,Female,Expat,Yes
CUST0172,18.0,Female,Expat,No
CUST0173,43.0,Male,UAE National,Yes
CUST0174,28.0,Male,Expat,No
CUST0175,42.0,Female,UAE National,No
CUST0176,31.0,Male,Expat,Yes
CUST0177,38.0,Male,Expat,No
CUST0178,40.0,Female,Expat,Yes
CUST0179,20.0,Male,Expat,Yes
CUST0180,23.0,Female,Expat,Yes
CUST0181,,Female,UAE National,No
CUST0182,35.0,Male,Expat,Yes
CUST0183,25.0,Female,Expat,Yes
CUST0184,27.0,Female,Expat,No
CUST0185,32.0,Female,Expat,No
CUST0186,18.0,Female,Expat,No
CUST0187,38.0,Female,Expat,No
CUST0188,27.0,Female,Expat,Yes
CUST0189,50.0,Male,Expat,Yes
CUST0190,29.0,Male,Expat,No
CUST0191,38.0,Female,Expat,No
CUST0192,24.0,Female,Expat,No
CUST0193,44.0,Female,Expat,Yes
CUST0194,18.0,Female,Expat,Yes
CUST0195,23.0,Male,Expat,Yes
CUST0196,26.0,Female,Expat,No
CUST0197,40.0,Female,Expat,No
CUST0198,37.0,Female,Expat,No
CUST0199,28.0,Male,Expat,Yes
CUST0200,44.0,Female,Expat,Yes
CUST0201,18.0,Male,Expat,No
CUST0202,39.0,Female,Expat,Yes
CUST0203,28.0,Male,Expat,Yes
CUST0204,26.0,Male,Expat,Yes
CUST0205,18.0,Male,Expat,No
CUST0206,37.0,Female,Expat,Yes
CUST0207,33.0,Female,UAE National,Yes
CUST0208,34.0,Female,Expat,No
CUST0209,48.0,Female,UAE National,Yes
CUST0210,44.0,Female,Expat,Yes
CUST0211,34.0,Male,Expat,Yes
CUST0212,18.0,Male,Expat,No
CUST0213,22.0,Female,Expat,No
CUST0214,34.0,Female,Expat,Yes
CUST0215,27.0,Male,Expat,No
CUST0216,38.0,Female,Expat,No
CUST0217,18.0,Male,Expat,No
CUST0218,23.0,Male,Expat,No
CUST0219,33.0,Male,Expat,Yes
CUST0220,32.0,Male,Expat,No
CUST0221,31.0,Female,Expat,No
CUST0222,32.0,Male,Expat,Yes
CUST0223,36.0,Female,Expat,No
CUST0224,40.0,Female,Expat,No
CUST0225,29.0,Male,Expat,Yes
CUST0226,42.0,Female,Expat,Yes
CUST0227,19.0,Male,Expat,No
CUST0228,32.0,Male,Expat,No
CUST0229,24.0,Male,UAE National,No
CUST0230,34.0,Female,Expat,Yes
CUST0231,36.0,Male,Expat,No
CUST0232,41.0,Female,UAE National,No
CUST0233,23.0,Male,Expat,No
CUST0234,25.0,Female,Expat,No
CUST0235,29.0,Female,Expat,No
CUST0236,38.0,Female,Expat,No
CUST0237,42.0,Male,Expat,Yes
CUST0238,28.0,Male,Expat,No
CUST0239,43.0,Male,Expat,No
CUST0240,40.0,Female,Expat,Yes
CUST0241,33.0,Male,Expat,No
CUST0242,38.0,Male,Expat,No
CUST0243,33.0,Female,Expat,No
CUST0244,53.0,Female,Expat,No
CUST0245,46.0,Male,UAE National,No
CUST0246,36.0,Female,Expat,Yes
CUST0247,21.0,Female,Expat,No
CUST0248,47.0,Male,UAE National,No
CUST0249,52.0,Male,Expat,Yes
CUST0250,36.0,Male,Expat,Yes
CUST0251,38.0,Female,Expat,No
CUST0252,18.0,Male,Expat,Yes
CUST0253,19.0,Female,Expat,No
CUST0254,29.0,Female,Expat,Yes
CUST0255,38.0,Female,Expat,Yes
CUST0256,30.0,Female,Expat,No
CUST0257,23.0,Female,Expat,No
CUST0258,36.0,Male,Expat,No
CUST0259,32.0,Female,Expat,No
CUST0260,33.0,Male,Expat,No
CUST0261,31.0,Male,Expat,Yes
CUST0262,33.0,Female,Expat,No
CUST0263,43.0,Male,Expat,No
CUST0264,18.0,Female,Expat,No
CUST0265,34.0,Male,Expat,No
CUST0266,29.0,Female,Expat,Yes
CUST0267,29.0,Female,Expat,Yes
CUST0268,31.0,Female,Expat,No
CUST0269,26.0,Female,Expat,No
CUST0270,26.0,Male,Expat,Yes
CUST0271,36.0,Female,Expat,Yes
CUST0272,23.0,Female,Expat,Yes
CUST0273,33.0,Female,Expat,Yes
CUST0274,34.0,Male,Expat,Yes
CUST0275,18.0,Female,Expat,No
CUST0276,46.0,Male,Expat,Yes
CUST0277,42.0,Female,Expat,Yes
CUST0278,18.0,Male,Expat,No
CUST0279,18.0,Female,Expat,No
CUST0280,27.0,Male,Expat,Yes
CUST0281,39.0,Female,UAE National,No
CUST0282,31.0,Male,Expat,Yes
CUST0283,49.0,Male,Expat,Yes
CUST0284,37.0,Female,Expat,No
CUST0285,21.0,Female,UAE National,Yes
CUST0286,32.0,Male,Expat,No
CUST0287,18.0,Female,Expat,No
CUST0288,36.0,Female,Expat,No
CUST0289,44.0,Male,Expat,No
CUST0290,44.0,Male,Expat,No
CUST0291,35.0,Male,Expat,Yes
CUST0292,18.0,Female,Expat,No
CUST0293,20.0,Female,Expat,Yes
CUST0294,36.0,Female,Expat,Yes
CUST0295,36.0,Male,Expat,No
CUST0296,18.0,Male,Expat,No
CUST0297,36.0,Male,Expat,Yes
CUST0298,19.0,Female,Expat,No
CUST0299,29.0,Female,Expat,Yes
CUST0300,33.0,Female,Expat,No
CUST0301,19.0,Female,Expat,No
CUST0302,28.0,Female,Expat,No
CUST0303,18.0,Female,Expat,Yes
CUST0304,41.0,Female,UAE National,Yes
CUST0305,21.0,Female,UAE National,No
CUST0306,30.0,Female,UAE National,No
CUST0307,42.0,Male,Expat,No
CUST0308,40.0,Male,Expat,No
CUST0309,38.0,Female,Expat,Yes
CUST0310,,Female,Expat,Yes
CUST0311,33.0,Female,UAE National,No
CUST0312,41.0,Male,UAE National,No
CUST0313,31.0,Male,Expat,No
CUST0314,20.0,Female,Expat,Yes
CUST0315,36.0,Female,Expat,No
CUST0316,29.0,Female,Expat,Yes
CUST0317,,Male,Expat,No
CUST0318,33.0,Male,Expat,No
CUST0319,21.0,Female,UAE National,Yes
CUST0320,36.0,Female,UAE National,Yes
CUST0321,37.0,Female,UAE National,No
CUST0322,32.0,Female,UAE National,Yes
CUST0323,27.0,Female,Expat,No
CUST0324,18.0,Male,UAE National,No
CUST0325,18.0,Male,Expat,No
CUST0326,18.0,Female,Expat,Yes
CUST0327,23.0,Male,Expat,Yes
CUST0328,23.0,Male,Expat,Yes
CUST0329,18.0,Male,UAE National,No
CUST0330,22.0,Female,Expat,No
CUST0331,30.0,Male,Expat,No
CUST0332,25.0,Male,UAE National,No
CUST0333,41.0,Female,Expat,No
CUST0334,44.0,Male,Expat,Yes
CUST0335,36.0,Male,Expat,Yes
CUST0336,27.0,Male,Expat,No
CUST0337,29.0,Female,UAE National,No
CUST0338,22.0,Male,Expat,Yes
CUST0339,26.0,Male,Expat,No
CUST0340,26.0,Female,Expat,No
CUST0341,29.0,Male,Expat,Yes
CUST0342,36.0,Female,UAE National,No
CUST0343,36.0,Male,UAE National,No
CUST0344,40.0,Female,Expat,No
CUST0345,39.0,Female,Expat,No
CUST0346,24.0,Female,Expat,Yes
CUST0347,18.0,Female,Expat,No
CUST0348,25.0,Male,Expat,Yes
CUST0349,18.0,Female,Expat,No
CUST0350,35.0,Female,Expat,No
CUST0351,35.0,Female,UAE National,No
CUST0352,37.0,Female,Expat,No
CUST0353,,Female,Expat,No
CUST0354,29.0,Male,Expat,No
CUST0355,25.0,Female,Expat,No
CUST0356,30.0,Female,Expat,Yes
CUST0357,32.0,Male,Expat,No
CUST0358,38.0,Female,Expat,No
CUST0359,21.0,Male,Expat,Yes
CUST0360,36.0,Male,Expat,Yes
CUST0361,32.0,Male,Expat,No
CUST0362,33.0,Female,Expat,Yes
CUST0363,,Female,Expat,No
CUST0364,35.0,Male,Expat,No
CUST0365,28.0,Female,Expat,No
CUST0366,33.0,Male,UAE National,No
CUST0367,34.0,Female,Expat,Yes
CUST0368,27.0,Female,Expat,Yes
CUST0369,37.0,Female,Expat,No
CUST0370,40.0,Female,Expat,No
CUST0371,22.0,Female,Expat,No
CUST0372,30.0,Female,Expat,Yes
CUST0373,40.0,Female,Expat,Yes
CUST0374,42.0,Male,UAE National,Yes
CUST0375,31.0,Male,Expat,No
CUST0376,37.0,Female,Expat,Yes
CUST0377,39.0,Female,UAE National,Yes
CUST0378,30.0,Female,Expat,Yes
CUST0379,,Male,Expat,Yes
CUST0380,36.0,Female,UAE National,Yes
CUST0381,31.0,Female,UAE National,No
CUST0382,35.0,Male,Expat,No
CUST0383,36.0,Female,Expat,Yes
CUST0384,41.0,Male,UAE National,No
CUST0385,35.0,Female,Expat,Yes
CUST0386,21.0,Female,Expat,No
CUST0387,29.0,Male,Expat,No
CUST0388,26.0,Male,Expat,No
CUST0389,39.0,Female,Expat,Yes
CUST0390,51.0,Male,Expat,Yes
CUST0391,28.0,Male,Expat,No
CUST0392,31.0,Female,Expat,Yes
CUST0393,27.0,Female,Expat,No
CUST0394,51.0,Male,Expat,No
CUST0395,31.0,Male,Expat,Yes
CUST0396,24.0,Female,Expat,Yes
CUST0397,32.0,Female,Expat,Yes
CUST0398,,Female,Expat,Yes
CUST0399,39.0,Female,Expat,Yes
CUST0400,36.0,Female,Expat,Yes
CUST0401,46.0,Female,Expat,No
CUST0402,34.0,Female,Expat,No
CUST0403,32.0,Female,Expat,No
CUST0404,39.0,Male,Expat,No
CUST0405,29.0,Female,Expat,Yes
CUST0406,33.0,Male,Expat,Yes
CUST0407,23.0,Male,UAE National,No
CUST0408,27.0,Female,Expat,No
CUST0409,24.0,Male,Expat,No
CUST0410,38.0,Male,UAE National,No
CUST0411,27.0,Male,Expat,Yes
CUST0412,33.0,Male,Expat,No
CUST0413,39.0,Male,UAE National,No
CUST0414,38.0,Male,Expat,Yes
CUST0415,19.0,Male,UAE National,No
CUST0416,48.0,Female,Expat,No
CUST0417,18.0,Male,UAE National,No
CUST0418,27.0,Male,UAE National,Yes
CUST0419,43.0,Female,Expat,Yes
CUST0420,38.0,Male,Expat,No
CUST0421,34.0,Male,Expat,No
CUST0422,29.0,Male,Expat,No
CUST0423,18.0,Female,Expat,No
CUST0424,33.0,Male,Expat,Yes
CUST0425,38.0,Female,UAE National,Yes
CUST0426,22.0,Male,Expat,Yes
CUST0427,19.0,Male,UAE National,Yes
CUST0428,29.0,Male,Expat,No
CUST0429,29.0,Female,Expat,Yes
CUST0430,41.0,Male,Expat,No
CUST0431,38.0,Female,Expat,No
CUST0432,41.0,Female,Expat,No
CUST0433,29.0,Female,Expat,Yes
CUST0434,35.0,Female,Expat,Yes
CUST0435,30.0,Male,Expat,No
CUST0436,23.0,Male,Expat,No
CUST0437,33.0,Female,Expat,No
CUST0438,35.0,Female,Expat,No
CUST0439,25.0,Female,Expat,Yes
CUST0440,35.0,Female,Expat,No
CUST0441,34.0,Male,Expat,No
CUST0442,26.0,Male,UAE National,Yes
CUST0443,31.0,Male,Expat,No
CUST0444,48.0,Female,UAE National,No
CUST0445,33.0,Male,Expat,No
CUST0446,35.0,Female,Expat,No
CUST0447,25.0,Female,Expat,No
CUST0448,34.0,Female,UAE National,Yes
CUST0449,40.0,Male,UAE National,No
CUST0450,29.0,Male,Expat,No
CUST0451,18.0,Female,UAE National,No
CUST0452,24.0,Male,Expat,No
CUST0453,42.0,Female,Expat,Yes
CUST0454,29.0,Female,Expat,Yes
CUST0455,21.0,Female,Expat,No
CUST0456,18.0,Male,Expat,No
CUST0457,21.0,Female,Expat,Yes
CUST0458,27.0,Male,Expat,No
CUST0459,18.0,Female,Expat,No
CUST0460,26.0,Male,Expat,No
CUST0461,22.0,Female,Expat,Yes
CUST0462,19.0,Female,Expat,No
CUST0463,37.0,Female,Expat,No
CUST0464,36.0,Male,UAE National,Yes
CUST0465,29.0,Female,Expat,No
CUST0466,,Female,Expat,No
CUST0467,35.0,Female,Expat,Yes
CUST0468,25.0,Female,Expat,Yes
CUST0469,,Male,Expat,No
CUST0470,24.0,Female,Expat,No
CUST0471,27.0,Male,Expat,Yes
CUST0472,19.0,Male,Expat,No
CUST0473,46.0,Female,Expat,Yes
CUST0474,33.0,Female,Expat,Yes
CUST0475,43.0,Female,UAE National,No
CUST0476,31.0,Male,Expat,No
CUST0477,41.0,Male,UAE National,No
CUST0478,35.0,Male,Expat,Yes
CUST0479,41.0,Female,Expat,No
CUST0480,29.0,Female,Expat,Yes
CUST0481,38.0,Female,Expat,No
CUST0482,27.0,Male,Expat,Yes
CUST0483,49.0,Male,Expat,Yes
CUST0484,22.0,Male,Expat,No
CUST0485,41.0,Female,Expat,No
CUST0486,44.0,Female,Expat,Yes
CUST0487,,Female,Expat,No
CUST0488,35.0,Male,UAE National,No
CUST0489,,Female,Expat,No
CUST0490,25.0,Male,Expat,No
CUST0491,34.0,Female,Expat,No
CUST0492,27.0,Male,Expat,Yes
CUST0493,23.0,Female,Expat,Yes
CUST0494,26.0,Female,Expat,No
CUST0495,27.0,Male,Expat,No
CUST0496,37.0,Female,UAE National,No
CUST0497,22.0,Male,Expat,No
CUST0498,22.0,Female,UAE National,No
CUST0499,29.0,Female,Expat,Yes
CUST0500,45.0,Female,Expat,No
CUST0501,24.0,Female,Expat,No
CUST0502,37.0,Female,Expat,No
CUST0503,,Female,Expat,Yes
CUST0504,27.0,Female,Expat,Yes
CUST0505,20.0,Female,UAE National,No
CUST0506,32.0,Male,Expat,No
CUST0507,41.0,Female,Expat,No
CUST0508,36.0,Female,Expat,No
CUST0509,36.0,Female,Expat,Yes
CUST0510,26.0,Male,Expat,No
CUST0511,30.0,Male,Expat,Yes
CUST0512,49.0,Male,Expat,No
CUST0513,22.0,Female,UAE National,No
CUST0514,28.0,Male,UAE National,No
CUST0515,35.0,Male,Expat,No
CUST0516,36.0,Male,Expat,Yes
CUST0517,36.0,Male,Expat,No
CUST0518,23.0,Female,Expat,No
CUST0519,42.0,Female,Expat,No
CUST0520,51.0,Female,Expat,No
CUST0521,29.0,Female,Expat,No
CUST0522,29.0,Male,Expat,Yes
CUST0523,24.0,Female,Expat,Yes
CUST0524,36.0,Male,UAE National,No
CUST0525,32.0,Male,Expat,No
CUST0526,34.0,Female,Expat,Yes
CUST0527,,Female,Expat,No
CUST0528,25.0,Male,Expat,Yes
CUST0529,26.0,Male,Expat,No
CUST0530,31.0,Female,Expat,No
CUST0531,27.0,Male,UAE National,Yes
CUST0532,28.0,Male,Expat,Yes
CUST0533,32.0,Female,Expat,No
CUST0534,26.0,Male,Expat,No
CUST0535,35.0,Female,Expat,No
CUST0536,50.0,Male,Expat,No
CUST0537,27.0,Male,Expat,No
CUST0538,,Female,Expat,No
CUST0539,22.0,Male,Expat,Yes
CUST0540,28.0,Female,Expat,Yes
CUST0541,31.0,Female,Expat,Yes
CUST0542,24.0,Male,Expat,No
CUST0543,31.0,Female,Expat,No
CUST0544,22.0,Male,Expat,Yes
CUST0545,31.0,Female,Expat,No
CUST0546,25.0,Male,Expat,No
CUST0547,18.0,Male,UAE National,No
CUST0548,41.0,Female,Expat,No
CUST0549,23.0,Female,Expat,No
CUST0550,31.0,Male,Expat,No
CUST0551,39.0,Female,Expat,No
CUST0552,26.0,Female,Expat,No
CUST0553,33.0,Male,Expat,No
CUST0554,30.0,Female,Expat,Yes
CUST0555,32.0,Male,Expat,Yes
CUST0556,25.0,Male,Expat,Yes
CUST0557,42.0,Female,Expat,No
CUST0558,28.0,Female,Expat,Yes
CUST0559,28.0,Male,Expat,No
CUST0560,36.0,Female,Expat,Yes
CUST0561,42.0,Male,Expat,Yes
CUST0562,37.0,Male,Expat,No
CUST0563,41.0,Male,Expat,No
CUST0564,43.0,Male,Expat,No
CUST0565,46.0,Male,Expat,No
CUST0566,36.0,Male,Expat,Yes
CUST0567,30.0,Male,Expat,No
CUST0568,36.0,Female,Expat,Yes
CUST0569,33.0,Female,Expat,Yes
CUST0570,21.0,Male,UAE National,No
CUST0571,39.0,Female,UAE National,No
CUST0572,38.0,Male,UAE National,No
CUST0573,25.0,Female,Expat,No
CUST0574,23.0,Female,Expat,No
CUST0575,36.0,Female,UAE National,No
CUST0576,31.0,Male,Expat,No
CUST0577,31.0,Male,Expat,Yes
CUST0578,35.0,Male,Expat,No
CUST0579,37.0,Female,Expat,No
CUST0580,46.0,Male,Expat,No
CUST0581,36.0,Male,Expat,No
CUST0582,29.0,Male,Expat,Yes
CUST0583,31.0,Male,Expat,No
CUST0584,42.0,Male,Expat,Yes
CUST0585,28.0,Male,Expat,No
CUST0586,27.0,Female,Expat,No
CUST0587,23.0,Female,Expat,Yes
CUST0588,20.0,Female,Expat,Yes
CUST0589,23.0,Male,Expat,No
CUST0590,25.0,Male,UAE National,No
CUST0591,18.0,Male,UAE National,No
CUST0592,45.0,Female,Expat,Yes
CUST0593,25.0,Male,Expat,Yes
CUST0594,,Female,Expat,Yes
CUST0595,49.0,Male,Expat,Yes
CUST0596,29.0,Female,Expat,No
CUST0597,45.0,Male,Expat,No
CUST0598,39.0,Male,Expat,No
CUST0599,40.0,Male,Expat,No
CUST0600,26.0,Female,Expat,No
CUST0601,28.0,Female,Expat,No
CUST0602,24.0,Male,Expat,Yes
CUST0603,,Female,Expat,No
CUST0604,33.0,Female,UAE National,No
CUST0605,36.0,Female,Expat,No
CUST0606,41.0,Male,Expat,Yes
CUST0607,29.0,Male,Expat,No
CUST0608,20.0,Female,Expat,Yes
CUST0609,22.0,Female,Expat,No
CUST0610,18.0,Female,Expat,No
CUST0611,33.0,Male,Expat,No
CUST0612,29.0,Female,UAE National,No
CUST0613,35.0,Male,Expat,No
CUST0614,33.0,Female,Expat,No
CUST0615,,Female,Expat,No
CUST0616,28.0,Female,Expat,Yes
CUST0617,35.0,Female,Expat,No
CUST0618,27.0,Female,UAE National,Yes
CUST0619,24.0,Male,Expat,Yes
CUST0620,24.0,Female,UAE National,Yes
CUST0621,29.0,Female,Expat,No
CUST0622,44.0,Male,Expat,No
CUST0623,32.0,Female,Expat,No
CUST0624,22.0,Female,Expat,No
CUST0625,33.0,Male,Expat,No
CUST0626,32.0,Female,UAE National,Yes
CUST0627,,Male,Expat,Yes
CUST0628,,Male,Expat,No
CUST0629,23.0,Female,Expat,No
CUST0630,36.0,Female,Expat,No
CUST0631,25.0,Female,Expat,Yes
CUST0632,29.0,Male,Expat,Yes
CUST0633,40.0,Male,UAE National,Yes
CUST0634,53.0,Female,UAE National,No
CUST0635,35.0,Female,Expat,Yes
CUST0636,46.0,Female,Expat,No
CUST0637,28.0,Female,Expat,No
CUST0638,48.0,Male,Expat,No
CUST0639,43.0,Female,Expat,No
CUST0640,32.0,Female,Expat,No
CUST0641,26.0,Female,Expat,Yes
CUST0642,27.0,Male,Expat,No
CUST0643,29.0,Female,Expat,No
CUST0644,36.0,Female,UAE National,No
CUST0645,31.0,Female,Expat,No
CUST0646,26.0,Female,Expat,No
CUST0647,40.0,Female,Expat,Yes
CUST0648,36.0,Male,Expat,No
CUST0649,18.0,Female,Expat,No
CUST0650,33.0,Female,Expat,No
CUST0651,38.0,Male,Expat,No
CUST0652,30.0,Female,Expat,No
CUST0653,38.0,Male,Expat,No
CUST0654,28.0,Male,Expat,No
CUST0655,27.0,Female,Expat,No
CUST0656,,Male,Expat,Yes
CUST0657,27.0,Female,Expat,No
CUST0658,33.0,Male,Expat,No
CUST0659,33.0,Female,UAE National,No
CUST0660,41.0,Female,UAE National,Yes
CUST0661,43.0,Male,UAE National,No
CUST0662,32.0,Female,Expat,No
CUST0663,29.0,Female,Expat,No
CUST0664,25.0,Male,Expat,No
CUST0665,,Male,Expat,No
CUST0666,36.0,Female,Expat,Yes
CUST0667,30.0,Male,Expat,Yes
CUST0668,42.0,Female,Expat,No
CUST0669,36.0,Male,Expat,No
CUST0670,25.0,Female,Expat,Yes
CUST0671,26.0,Female,Expat,No
CUST0672,18.0,Male,Expat,No
CUST0673,31.0,Female,Expat,No
CUST0674,41.0,Female,Expat,Yes
CUST0675,41.0,Female,Expat,Yes
CUST0676,23.0,Male,Expat,No
CUST0677,27.0,Female,Expat,No
CUST0678,38.0,Male,Expat,No
CUST0679,40.0,Male,Expat,No
CUST0680,21.0,Male,UAE National,No
CUST0681,22.0,Male,Expat,No
CUST0682,38.0,Male,Expat,No
CUST0683,18.0,Male,Expat,No
CUST0684,18.0,Female,Expat,Yes
CUST0685,30.0,Male,UAE National,Yes
CUST0686,24.0,Male,Expat,No
CUST0687,28.0,Female,Expat,No
CUST0688,38.0,Female,Expat,No
CUST0689,39.0,Female,Expat,Yes
CUST0690,27.0,Male,UAE National,Yes
CUST0691,24.0,Female,Expat,Yes
CUST0692,32.0,Female,Expat,No
CUST0693,19.0,Female,Expat,Yes
CUST0694,38.0,Male,Expat,Yes
CUST0695,35.0,Male,UAE National,No
CUST0696,39.0,Male,UAE National,Yes
CUST0697,37.0,Male,Expat,Yes
CUST0698,26.0,Male,Expat,No
CUST0699,26.0,Male,UAE National,No
CUST0700,32.0,Female,Expat,Yes
CUST0701,34.0,Female,Expat,No
CUST0702,37.0,Female,UAE National,No
CUST0703,18.0,Female,Expat,No
